idwell,subphase,sum(subphase_total_days)
3C6918BF24DC416F8747B40C3FADAC6D,Well Test,null
A06CA05414814A3E84C73BC4EE31EFCF,Run / Test BOP,6.5
E36B920A7DEB4B2D96D9287AC9595E17,"Drill 28"" Hole Section (711mm)",1.84
A3E87A9132C04B26AF6B28A541929A59,"Jet 36"" Casing (914mm)",1.13
0DB5B5A443804DD5927B8B232DA6F1E7,Pull BOP,0.98
46EEF60EB010439BBBD01541CAE71BB8,"Drill 14-1/2"" x 17"" Hole Section (368x432mm)",30.48
4E3325C8D54540018590B97F82FD4A2C,"Jet 36"" Casing (914mm)",0.29
C5D4F6A03FFC41D79F999AA5A1247C35,Lower P&A,8.48
6470F14EEDBB4F81B5DA6EFA8696A5A2,"Drill 17-1/2"" Hole Section (444.5mm)",12.89
B972758C036E4230A1B96DC034B8B094,"Drill 28"" Hole Section (711mm)",1.72
BAA7B0A7E65B44E8AA2BC58D45F45725,"Run 9-5/8"" Liner (244.5mm)",2.92
0DB5B5A443804DD5927B8B232DA6F1E7,Coring,null
7BAD924A0777472D9A50F4C01256A71A,Lower P&A,5.68
19C1D60E8C6547969453DACA80DDC64B,"Run 9-7/8"" Liner (251mm)",4.39
81CEC78DC98E4FB498D5F240B2368F3E,Drill Out Cement / Plug(s),4.47
C5D4F6A03FFC41D79F999AA5A1247C35,"Run 13-3/8"" Casing (340mm)",1.67
D656C01E121E4E858D3984E2E069BAEA,"Run 9-5/8"" x 10-3/4"" Casing (244.5x273mm)",2.63
E36B920A7DEB4B2D96D9287AC9595E17,"Run 9-5/8"" Casing / Tieback (244.5mm)",4.04
3CD6C7B1F8534AE489C0D91C0B037CCE,"Jet 36"" Casing (914mm)",0.67
E86F16784BA24EC08E4E4DE62F1C84FE,Fluid Displacement,1.63
1F12DA3A3DF54B2094592A804A8F12B6,Pull BOP,2.77
ECE695FAA11D4D2BA7338EE03055B7B0,"Jet 36"" Casing (914mm)",1.02
AC727F2B33D54DC39CD6C60F4609326B,"Run 13-5/8"" Casing / Tieback (346mm)",3.77
1C6899B4790F49CFBD844BBFFC958D16,Cleanout Run,null
052C9E72E57846CF9AA1A7999558FAB5,Well Clean Up,2.15
FB2897CC7A4D4161BC438AD052D71715,"Drill 28"" Hole Section (711mm)",2.24
